,titulo,data,empresa,localizacao,descricao
154,ANALISTA DE SISTEMA PLENO- REDES,06/05/2020,EMPREGARE.com,"Brasilia - Federal District, Brazil","
          Horário: De Seg à Sex das 9 às 19hs    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:   Atendimento a usuário no suporte a suas atividades no atendimento a chamados;   Manutenção dos usuários de AD;   Manutenção de hardware de estações e servidores;   Criação de máquinas virtuais;   Criação de DNS;   Suporte nos servidores virtuais Windows.   Requisitos:   Formação completa na área de Tecnologia da Informação.  Conhecimentos Técnicos:  Suporte Técnico em projetos de infraestrutura de rede e/ou servidores e sistemas operacionais Microsoft Windows Server (2003, 2008, 2012 e puperior) e/ou AD (Active Directory) System Center 2012 (SCCM e SCOM) VMWare Vcenter e ESX (DRS, HS, vMotion) Wsus da Microsoft Troubleshooting de servidores Windows Serviços em nuvem system Analysis e Tuning TCP/IP Microsoft de IIS, Sql Server e TS Adm de de redes em ambiente Windows Server (Windows 2003, 2008, 2012 e superior).  Certificação Obrigatória:  MCSA   Benefícios: Assistência médica,...
    "
155,ANALISTA DE SISTEMAS JR,06/05/2020,EMPREGARE.com,"Brasilia - Federal District, Brazil","
          Horário: De Seg à Sex das 8 às 17hs    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:   Atendimento chamados Gestão Ti web Criação de conta de e-mail de usuários,   Criação de caixas departamentais,  Criação grupos de e-mail, configurações, permissões e gerenciamento de contas(habilitar e remover  usaurios e grupos) criação e manutenção contatos externos soluções e correção de insdisponibilidade de serviços ao Exchange, de serviços SMMP, NETWOK STORE iNTERFACE(BACKUP DATABASE DO EXCHANGE),   Habilitar/  remover usaurios  no servidor para Lync Habilitar permissões de videoconferência no Skype for Business Migração de contas de e-mail de usuários para DataBase dististas Adicionar IP(s)  no servidor SERVIVE CONFIGURATION HUB TRANSPORT,   Liberção de serviços SMTP (CAS/HUB),   Migração conta para nuvem,  Manutenção de IP dos send connectores.   Requisitos:   Formação completa na área de Tecnologia.   Conhecimentos técnicos:   Outlook Office 2016 Servidor exchange 2010...
    "
156,ANALISTA DE SISTEMA PL,06/05/2020,EMPREGARE.com,"Brasilia - Federal District, Brazil","
          Horário: De Seg a Sex das 8 às 17hs    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:   •Inclusão/Alteração/Exclusão de objetos;   • Realizaçao de análise de vulnerabilidade em aplicações que entrarão em produção;   •Reset de senhas de usuários;   •Análise de logs;   •Verificação de status de todos os drivers em execução (AD, GestorH, SICOA, etc);   •Concessão de perfis para os usuários da rede; •Criação de LDIFs para cargas de perfis ou outros dados;   •Verificação da integridade do ndsd;   •Monitoramento do sincronismo de trocas de senhas no ambiente;  •Monitoramento da criação de usuários no ambiente (RH>IDM>AD);   •Monitoramento do Remote Loader instalado no controlador de domínio da Infraero;   •Criação/modificação de policies nos drivers existentes.   Requisitos:   Formação completa na área de tecnologia.   Conhecimentos Técnicos:   •Novell Identity Manager - IDM;   •Novell Access Manager – NAM (Gestão de Senhas).      Certificação Exigida:   LPI...
    "
157,Desenvolvedor Android,06/05/2020,Fóton Informática,Brasília,"
         - Graduação completa na área de TI; 
 - Análise e Desenvolvimento de sistema em baixa plataforma e mobile; 
 - Java e Mobile Android (Java/Kotlin); 
 - Experiência com desenvolvimento com Método Ágil: scrum, xp, kanban e outras práticas; 
 - Desejável conhecimento em desenvolvimento na plataforma IBM Mobile First. 
    "
158,Desenvolvedor IOS,06/05/2020,Fóton Informática,Brasília,"
          Requisitos Obrigatórios:  
 - Graduação completa na área de TI; 
 - Análise e Desenvolvimento de sistemas Mobile; 
 - Conhecimentos em Swift; 
 - Desejável conhecimento em desenvolvimento na plataforma IBM Mobile First. 
    "
159,Desenvolvedor(a) Java Pleno,06/05/2020,Engineering do Brasil,"São Paulo, State of São Paulo, Brazil","
         ÁREA: DIGITAL LABS - SÃO PAULO/SP 
  Qual será o seu papel?  
  Desenvolvimento, sustentação, análise e correção de bugs; 
 Desenvolvimento de novos sistemas na área de telecomunicação. 
   Esperamos que você:     
  Tenha e xperiência com Spring Boot, Angular, Git;  
  Tenha experiência com desenvolvimento nas linguagens Java;  
 Tenha e xperiência com implantação de ferramentas de automação DevOps e CI/CD (Jenkins, SonarQube);  
 Tenha c onhecimento em Arquitetura de Microsserviços;  
 Tenha c onhecimento em Web Services Restful e SOAP;  
 Tenha c onhecimentos em sistemas de integração/middleware.  
   Vamos ficar felizes se você (seu diferencial):  
   Tiver trabalhado com processos ágeis: Scrum, Squads, etc;  
  Tiver participado de projetos de transformação digital.  
   Você vai amar trabalhar aqui se:  
  Quiser fazer parte de uma multinacional com agilidade e criatividade de startup; 
 Estiver em busca de um ambiente flexível, no dress code e com possibilidade de home...
    "
160,Desenvolvedor de Aplicações Qlik,06/05/2020,People TI,"Chapecó, SC, Brazil","
          
 A People TI busca profissional    Desenvolvedor de Aplicações Qlik    para atuar em empresa que desenvolve softwares com foco em gestão na região de Chapecó/SC. 
  
  Atividades desenvolvidas:  
 Desenvolvimento de extração e transformação de dados; 
 Implementar aplicações utilizando a plataforma Qlik, principalmente o Qlik Sense; 
 Atuação com foco em empresas do ramo varejista 
  
  Conhecimentos:  
 Banco de Dados 
 SQL 
 Set Analysis (Qlik) 
  
  Conhecimentos desejáveis:  
  JavaScript  
 Conhecimento de regras de negócios (financeiro, contabilidade e controle de estoque) 
    "
161,Administrador de Dados,06/05/2020,Dclick Desenvolvimento de Softwares Ltda,"Rio de Janeiro, State of Rio de Janeiro, Brazil","
          Administrador de Dados  
  - Modelagem de Dados;   - Integração de Dados;   - Domínio nas linguagens PL/SQL, T-SQL, PL/pgSQL e UML;   - Conhecimento em processos ETL e Powercenter;   - Levantamento e definição de requisitos;   - Análise de Pontos de Função;   - Preferencialmente certificações Oracle e/ou Microsoft;   - Experiência mínima de 5 anos  
 Benefícios: Salário + VR e Plano de Saúde 
 De Segunda a Sexta de 9h as 18h 
 Local de Trabalho: Rio de Janeiro - Centro 
 Enviar Currículo para:    andreza.pereira@dclick.com.br  
 Por favor, só enviar o currículo se o perfil se encaixar na vaga 
 Início imediato!!! 
    "
162,Desenvolvedor Full Stack,06/05/2020,Domvs Service It,"Barueri - State of São Paulo, Brazil","
         Experiência com Desenvolvimento Full Stack 
  Competências necessárias:  
  .Net com foco em React 
  Contratação PJ + 15 dias de férias remuneradas 
 Empresa localizada em Alphaville 
  
    "
163,Assistente de Projetos Pleno,05/05/2020,Blend it Consultoria,"Santos, State of São Paulo, Brazil","
         Montar os materiais de treinamentos, tirando prints dos processos no SAP (todos os módulos). Conhecer o SAP para ir nos fluxos desenhados do processo. Experiência em elaboração de material de treinamento. 
    "
164,Analista de Infraestrutura de Backup Pleno,05/05/2020,Blend it Consultoria,"São Paulo, State of São Paulo, Brazil","
         Experiência no atendimento de incidentes e execução de changes em infra estrutura de Backup; Experiência em ferramenta Netbackup e Commvault;  Gerenciar fila de incident e execução de atividades programadas. 
 📌 Requisitos Experiência de 2 a 3 anos; Conhecimento dos requisitos ITIL; Flexibilidade de horários. 
    "
165,Analista de Sistemas Pleno,05/05/2020,Blend it Consultoria,"São Paulo, State of São Paulo, Brazil","
         Experiência em: Administração de sistema operacional Windows em nível Pleno; Administração de sistema operacional Linux em nível Junior; Atividades administrativas para ambiente de virtualização VMware, RemoteApps (desejável) , KVM (desejável) e Citrix (desejável) no nível Junior; Gerenciar fila de incident e execução de atividades programadas. 
 📌 Requisitos; Experiência de 2 a 3 anos; Conhecimento dos requisitos ITIL; Flexibilidade de horários. 
    "
166,Analista de Sistemas Sênior,05/05/2020,Blend it Consultoria,"São Paulo, State of São Paulo, Brazil","
         Experiência em administração de sistema operacional Windows em nível Senior, administração de sistema operacional Linux em nível Junior; Conhecimento em atividades administrativas para ambiente de virtualização VMware, RemoteApps (desejável) , KVM (desejável) e Citrix (desejável) no nível Junior; Conhecimento em AD, IIS, Performance e Tunning; Experiência em gerenciar fila de incident e execução de atividades programadas. 
 📌 Requisitos; Experiência de 4 a 5 anos; Conhecimento dos requisitos ITIL; Flexibilidade de horários. 
    "
167,Analista Linux Pleno,05/05/2020,Blend it Consultoria,"São Paulo, State of São Paulo, Brazil","
          
 Experiência em  Administração de sistema operacional Linux em nível Pleno; Administração de Cluster em SO Linux; Gerenciar fila de incident e execução de atividades programadas. 
 📌 Requisitos; Experiência de 4 a 5 anos; Conhecimento dos requisitos ITIL; Conhecimento em Hardware, Netowrk, SAN; Flexibilidade de horários. 
    "
168,Analista Web Pleno,05/05/2020,Blend it Consultoria,"São Paulo, State of São Paulo, Brazil","
         Blend It Contrata: Analista Web Pleno 
 📍Localidade: São Paulo/SP 💼Contratação: CLT ⏳Projeto: 6 meses, podendo prorrogar 
 Experiência em administração camada Web (WebSphere, JBoss, Apache e IIS) em nível Pleno; Experiência em gerenciar fila de incident e execução de atividades programadas; 
 📌 Requisitos; Experiência de 2 a 3 anos; Conhecimento dos requisitos ITIL; Flexibilidade de horários. 
  Se interessou? Veio alguém em mente que poderia indicar? 👇 
 Cvs: jaqueline.gomes@blendit.com.br 
 #TI #analista #web #pleno #temosvagas #vagas #oportunidades #empregos #oportunidade #ti #compartilhem #vagasti 
    "
169,Adm de Banco de Dados Oracle Sênior,05/05/2020,Blend it Consultoria,"São Paulo, State of São Paulo, Brazil","
         Experiência em:  Administração Banco de Dados Oracle em nível Senior; Cluster de SO e Oracle Rac em nível Senior; Sistema Operacional Windows e Unix-Linux em nível Pleno; Gerenciamento de fila de incident e execução de atividades programadas. 
 📌 Requisitos: Experiência de 4 a 5 anos; Conhecimento dos requisitos ITIL; Flexibilidade de horários. 
    "
170,Analista de Infraestrutura Pleno,05/05/2020,Blend it Consultoria,"São Paulo, State of São Paulo, Brazil","
         Atendimento de incidentes e execução de changes em infra estrutura de AD (Replicação, GPO, Politicas e etc); Experiência em gerenciar fila de incidente e execução de atividades programadas. 
 📌 Requisitos; Experiência de 1 a 2 anos; Experiência em administração de sistema operacional Windows; Conhecimento dos requisitos ITIL; Flexibilidade de horários. 
    "
171,Analista Linux Pleno,05/05/2020,Blend it Consultoria,"São Paulo, State of São Paulo, Brazil","
         Experiência em: Administração de sistema operacional Linux em nível pleno; Administração de sistema operacional Windows em nível Junior; Gerenciamento de fila de incident e execução de atividades programadas; Conhecimento em Cloud AWS 
 📌 Requisitos; Experiência de 1 a 2 anos; Conhecimento dos requisitos ITIL; Flexibilidade de horários. 
    "
172,Analista Web Sênior,05/05/2020,Blend it Consultoria,"São Paulo, State of São Paulo, Brazil","
         Experiência em: Administração camada Web (WebSphere, JBoss, Apache e IIS) em nível Senior; Gerenciamento de fila de incident e execução de atividades programadas; 
 📌 Requisitos; Experiência de 4 a 5 anos; Conhecimento dos requisitos ITIL; Flexibilidade de horários. 
    "
173,Analista Linux Sênior,05/05/2020,Blend it Consultoria,"São Paulo, State of São Paulo, Brazil","
         Experiência em administração de sistema operacional Linux em nível Senior; Experiência em administração de Cluster de SO, Tunning e Capacity Experiência em administração de sistema operacional Windows em nível Junior; Experiência em gerenciar fila de incident e execução de atividades programadas; 
 📌 Requisitos; Experiência de 4 a 5 anos; Conhecimento dos requisitos ITIL; Flexibilidade de horários. 
    "
174,Analista de Sistemas Linux Sr,05/05/2020,EMPREGARE.com,"Brasilia - Federal District, Brazil","
          Horário: De segunda à sexta    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:    Administração, gerenciamento, implantação e suporte de sistemas operacionais Linux;
  Administração, gerenciamento, implantação ou suporte de sistemas operacionais Linux Red Hat Enterprise Linux 6 ou superior;
  Administração, gerenciamento, implantação ou suporte de sistemas operacionais Linux Oracle Enterprise Linux 6 ou superior;
  Administração, gerenciamento, implantação ou suporte de recursos balanceamento de carga e alta-disponibilidade (cluster) em sistemas Linux;
  Administração, gerenciamento, implantação ou suporte em solução de gerenciamento de parque computacional (Red Hat Satellite);
  Parametrização e ajustes finos de desempenho (performance tuning) e segurança (hardening), em sistemas operacionais Linux   Requisitos:   Graduação completa em Ti.  Certificação obrigatória: Red Hat Certified Specialist in Linux Diagnostics and Troubleshooting.   Benefícios: Assistência...
    "
175,Operador Técnico Pl - Monitoração,05/05/2020,EMPREGARE.com,"Brasilia - Federal District, Brazil","
          Horário: 08:00 às 20:00 - 12x36    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:        Monitoramento de desempenho (performance) de aplicações e experiência do usuário final, utilizando ferramentas de APM;
  Monitoramento com ferramenta NAGIOS;
    Monitoramento com ferramenta ZABBIX;    
 Monitoramento com ferramenta Microsoft System Center;    
 Monitoramento com ferramentas BMC ou similar;    
 Instalação, configuração, administração e suporte em servidores Linux;    
 instalação, configuração, administração e suporte em servidores Microsoft Windows        Requisitos:    Graduação Completa na área de Tecnologia;   Deverá possuir UMA das certificações abaixo:   Certificação CompTIA Network+.
  Certificação Microsoft MTA: Database Fundamentals.      *Oportunidade aberta para portadores de deficiência.     Benefícios: Assistência médica, Assistência odontológica, Day Off, Empréstimo Consignado, Seguro de Vida, Vale-alimentação, Vale-refeição, Vale-transporte  
    "
176,Analista de Requisitos Sr,05/05/2020,EMPREGARE.com,"Brasilia - Federal District, Brazil","
          Horário: De segunda à sexta    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:   Acompanhar andamento das demandas, elicitar requisitos com o cliente, prospectar demandas a serem atendidas.   Requisitos:    Ensino Superior Completo preferencialmente em TI.  Desejável certificações CSPO (Scrum Alliance) ou PSPO (Scrum.org)  Conhecimento avançado do Manifesto Ágil e conhecimento básico de processos de Gerenciamento.    Certificação CPRE-FL    Benefícios: Assistência médica, Assistência odontológica, Day Off, Seguro de Vida, Vale-alimentação, Vale-refeição  
    "
177,Analista de Requisitos Pleno,05/05/2020,EMPREGARE.com,"Brasilia - Federal District, Brazil","
          Horário: De segunda à sexta    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:   Acompanhar andamento das demandas, elicitar requisitos com o cliente, prospectar demandas a serem atendidas.   Requisitos:   Ensino Superior Completo preferencialmente em TI.  Conhecimento avançado do Manifesto Ágil e conhecimento básico de processos de Gerenciamento de Projetos.   Benefícios: Assistência médica, Assistência odontológica, Day Off, Seguro de Vida, Vale-alimentação, Vale-refeição  
    "
178,Desenvolvedor Angular - INÍCIO IMEDIATO -  HOME OFFICE,05/05/2020,RecrutaSimples,"São Paulo, State of São Paulo, Brazil","
        Domínio em Typescript, Javascript, Angular, HTML5, CSS (de preferência com SASS) e desejável em GIT.   Benefícios: a combinar   
    "
179,Administrador de Dados Pleno (DBA),05/05/2020,Dclick Desenvolvimento de Softwares Ltda,"Centro, Rio de Janeiro - State of Rio de Janeiro, Brazil","
         Conhecimento pleno em: - Perfil de DBA de Aplicação (oracle/sql Server/DB2); - Tuning SQL; - Domine SQL; - Pl/sql; - Modelagem de dados; - Levantamento de requisitos; - Proficiência em Power designer; - Processos ETL e Powercenter; - Módulo Recursos Humanos (HR); - SAP; - Conhecimento em GP (Escopo/Custo/Tempo/Risco). - Preferencialmente certificações Oracle e/o Microsoft - Experiência mínima de 5 anos 
 Benefícios: Salário + VR e Plano de Saúde 
 De Segunda a Sexta de 9h as 18h 
 Local de Trabalho: Rio de Janeiro - Centro 
 Enviar Currículo para: andreza.pereira@dclick.com.br 
 Por favor, só enviar o currículo se o perfil se encaixar na vaga 
 Início imediato!!! 
    "
180,Analista de Teste Cod.: 172491,05/05/2020,Mirante Tecnologia,"Brasília - Brasilia, Federal District, Brazil","
          Conhecimentos exigidos: Automação, Selenium Webdriver, Testlink, Mantis, Quality Center, Java, banco de dados SQL.  
    "
181,Desenvolvedor Java Cód.: 191202,05/05/2020,Mirante Tecnologia,"Brasília - Brasilia, Federal District, Brazil","
         Formação: Ensino superior na área de Tecnologia da Informação  
  Requisitos obrigatórios:   
  Java;  
  AngularJS;  
  React;  
  MS SQL Server;  
  GIT/SVN.  
    "
182,Desenvolvedor Java Full Stack Cód.: 199062,05/05/2020,Mirante Tecnologia,"Brasília - Brasilia, Federal District, Brazil","
         Conhecimentos necessários: 
 - Java 
 - Angular (versão 6 em diante) 
 - CSS 
 - HTML5 
 - EJB ou SPRING 
 - JPA / Hibernate 
 - SQL 
 - Jboss 
 - Websphere 
 - Junit 
 - Git 
 Conhecimentos desejáveis: 
 - Desejável conhecimento em Adobe Flex. 
 - Desejável conhecimento em Redux. 
 - Desejável conhecimento em autenticação OAUTH. 
    "
183,Desenvolvedor Back End,05/05/2020,Domvs Service It,"Barueri - State of São Paulo, Brazil","
         Experiência em Desenvolvimento BackEnd com .Net  Conhecimentos essenciais:   
  .Net 
 React  
 Javascript 
  Desejável conhecimento em NodeJs 
  Empresa localizada na região de Alphaville Contratação PJ + 15 Dias de Férias Remuneradas  Inicio Imediato  
    "
184,Desenvolvedor Front End,05/05/2020,Domvs Service It,"São Paulo, State of São Paulo, Brazil","
         Experiência em Desenvolvimento Front End  Conhecimentos essenciais:  
  HTML 
 CSS 
 NodeJS 
 Typescript 
 React 
 React Native 
   Empresa de grande porte localizada na região de Interlagos Contratação PJ + 15 Dias de Férias Remuneradas  Inicio Imediato  
    "
185,Remote Work Opportunity for Developers,04/05/2020,Education Strategy Consulting,Remoto,"
         Education Strategy Consulting is looking for a developer willing to work outside established libraries and frameworks and who has a good understanding of the big picture. Our company has a custom framework that spans both back and front-ends, using cutting-edge techniques and practices. Your job would be to work on the configuration of new projects and manual QA of releases and deployments, as well as framework development and documentation. 
 This is a remote work opportunity, therefore you can work from your own office. You would be working standard hours (9-to-5) from Monday to Friday. 
 Tasks include: 
  Setting up new client applications. 
 Feature and browser testing. 
 Documenting HTML, CSS and JS elements of our custom framework. 
 Participating in frequent meetings with the dev team. 
 Contributing to the further development of the framework. 
   The candidate must have: 
  Basic experience with HTML, CSS, JS, Git and browser DevTools. 
 Excellent communication skills in...
    "
186,Gerente de Projetos - Florianópolis/SC,04/05/2020,HrSoul Hunting Relationship,"Florianópolis, State of Santa Catarina, Brazil","
          Sólida experiência em arquitetura e engenharia de sistemas; 
 Experiência em gerenciamento de projetos e produtos na área de tecnologia; 
 Experiência com desenvolvimento ágil e melhores práticas de entrega contínua; 
 Desejáveis conhecimentos em Atlassian Products (JIRA, Confluence) e em desenvolvimento de games; 
 Inglês e Espanhol avançados (imprescindível); 
 Graduação em TI ou áreas relacionadas; 
 Disponibilidade para viagens; 
 Imprescindível residir em Florianópolis e/ou região. 
 
    "
187,Arquiteto de Dados Nível Sênior – Barueri/SP,04/05/2020,HrSoul Hunting Relationship,"Barueri - State of São Paulo, Brazil","
         Imprescindível sólida experiência com arquitetura, Oracle, MSSQL, Informix, Vertica, Hive, MongoDB, MySQL, PostgreSQL, Hadoop, DB Cloud, Talend, Elastic, Solr e REDIS; 
 Desejáveis conhecimentos em NoSQL e Docker; 
 Graduação em TI ou áreas relacionadas; 
 Disponibilidade para atuação em Alphaville – São Paulo. 
    "
188,Analista de InfraEstrutura,03/05/2020,Descomplique,São Paulo,"
          Analista de Infra-Estrutura Descomplicado:  
 Estamos buscando um analista que saiba liderar tecnicamente a nossa equipe de 15 analistas  entre os níveis  N1,N2 e N3. 
 Ter experiência com backup em nuvem e monitoramento de ambientes(Storage,Servidores etc) Conhecimento em Zabbix , Grafana etc..  -Ter postura de liderança e gerenciamento de incidentes de chamados em clientes.  -Experiência em Firewall e roteamento.  -Experiência em ambientes Virtualizado (Hyper-V ou Vmware).  -Visão macro e inquietude intelectual para perseguir mudanças de mercado e atualizações.  -Experiência em escalonamento e gerenciamento de chamados técnicos e resolução com SLA.  -Conhecimento em Servidores Windows Avançado(AD, DNS, Replicação);  -Conhecimento intermediário em Switch's (Vlan, direcionamento de pacotes, portas de rede etc.);  -Conhecimento intermediário em sistemas operacionais Linux (Debian, Ubuntu) para subir ambientes etc..  -Resiliência em atendimento primário e secundário.  -Ter...
    "
189,Analista de Dados Pleno,03/05/2020,Boa Vista Beyond,"Alphaville, Barueri- SP, Brazil","
          Departamento:  
 Área responsável pela governança e qualidade dos dados, da Boa Vista SCPC.   
   
  Desafios do cargo:   
  Gerar estudos, insights e criação de KPIs para controle de acurácia dos dados e apoio às estratégias de negócios;  
 Construir e manter processos de governança e qualidade de dados;  
 Certificar que os recursos de dados estão de acordo com as necessidades do negócio garantindo a qualidade dos dados e os seus metadados.  
   
  Para se candidatar, você precisa:   
  Ter pleno domínio sobre modelagem conceitual e física de dados;  
 Análise de banco de dados;  
 Linguagens SQL, Python e/ou R;  
 .Pensamento crítico, Agilidade e Protagonismo. 
   
  Requisitos desejáveis:   
  Utilização de técnicas estatísticas para construção de estratégias de Dados;  
 Conhecimentos e/ou experiência em Governança de Dados;  
 Conhecimentos e/ou experiência em Gestão de metadados;  
 .Atuado em Consultorias, áreas de BI, Processos ou auditorias;  
 Conhecimentos sobre LGPD...
    "
190,"Desenvolvedor C/C++ (conhecimento em desenvolvimento de interfaces gráficas, preferencialmente usando SDL)",01/05/2020,RH Nossa,"São Paulo, Brazil","
         O que você vai fazer 
  Desenvolvedor C/C++  
 Conhecimento na arquitetura do Sistema Operacional Linux 
  Conhecimento em desenvolvimento de APIs em C  
  Conhecimento em desenvolvimento de APIs em C++  
  Sólidos conhecimentos em programação orientada a objetos  
  Conhecimento em desenvolvimento de interfaces gráficas, preferencialmente usando SDL  
  Sólidos conhecimentos em programação de aplicação em C++  
  Conhecimento do IDE Eclipse  
  Conhecimento na ferramenta git  
  Contrato temporário de 6 a 8 meses   
    "
191,Desenvolvedor - (com experiência em ambiente Windows e Linux),01/05/2020,RH Nossa,"São Paulo, Brazil","
          Desenvolvedor C/C++ (com experiência em ambiente Windows e Linux)  
 O que você vai fazer 
 Desenvolvedor C/C++ com experiência em ambiente Windows e Linux 
  Conhecimento em desenvolvimento de APIs em C  
  Conhecimento em desenvolvimento de APIs em C++  
  Sólidos conhecimentos em programação orientada a objetos  
  Conhecimento avançado em comunicação entre processos  
  Sólidos conhecimentos em programação de aplicação em C++  
  Contrato temporário de 6 a 8 meses   
    "
192,Desenvolvedor Backend Node JS - SP,01/05/2020,WA FENIX IT SERVICES  SOLUTIONS,"Sao Paulo, São Paulo - State of São Paulo, Brazil","
          WA FENIX  – empresa com mais de 30 anos de experiência no mercado de TI - com escritório nas cidades de São Paulo – Rio de Janeiro – Lisboa – Montreal -  está com processo seletivo aberto para o seguinte perfil: 
 Desenvolvedor Backend Node JS - SP 
 Mínimo de 5 anos atuando com desenvolvimento de software e ao menos 2 anos com nodeJS; 
 Experiência com desenvolvimento de microserviços e API Rest.  Banco de dados SQL e NoSQL; 
 Diferenciais: Conhecimento em Docker, Cloud , .net Core e graphQL; 
 Projeto: 12 meses - podendo prorrogar. 
 Local: Jabaquara/SP 
    "
193,Oportunidade Desenvolvedor Frontend React JS Sênior - Jabaquara/SP,01/05/2020,WA FENIX IT SERVICES  SOLUTIONS,"São Paulo, State of São Paulo, Brazil","
          WA FENIX  – empresa com mais de 30 anos de experiência no mercado de TI - com escritório nas cidades de São Paulo – Rio de Janeiro – Lisboa – Montreal -  está com processo seletivo aberto para o seguintes perfil: 
 Desenvolvedor Frontend React JS Sênior 
  Mínimo de 5 anos atuando com desenvolvimento de software e ao menos 2 anos com react js;  
  Experiência com desenvolvimento de microserviços e API Rest e Banco de dados SQL e NoSQL;  
  Diferenciais: Conhecimento em Docker, Cloud , .Net Core e graphQL.  
  Projeto: 12 meses - podendo prorrogar.  
  Local: Jabaquara - São Paulo.  
  
    "
194,Analista de Sistemas Linux Jr,30/04/2020,EMPREGARE.com,"Brasilia - Federal District, Brazil","
          Horário: Escala 12x36    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:    Administração, gerenciamento, implantação ou suporte de sistemas operacionais Linux Red Hat Enterprise Linux 6 ou superior;
  Administração, gerenciamento, implantação ou suporte de sistemas operacionais Linux Oracle Enterprise Linux 6 ou superior;
   Administração, gerenciamento, implantação ou suporte de recursos balanceamento de carga e alta-disponibilidade (cluster) em sistemas Linux;
  Administração, gerenciamento, implantação ou suporte em solução de gerenciamento de parque computacional (Red Hat Satellite);
   Parametrização e ajustes finos de desempenho (performance tuning) e segurança (hardening), em sistemas operacionais Linux
      Requisitos:   Superior completo em Ti    Possuir uma das certificações abaixo:     RHCE ou  LPIC-2 ou  Red Hat Certified JBoss Administrator (RHCJA)  ou LPIC-3.    Benefícios: Assistência médica, Assistência odontológica, Day Off, Seguro de Vida,...
    "
195,Especialista Pré Vendas Nutanix,30/04/2020,EMPREGARE.com,"São Paulo, State of São Paulo, Brazil","
          Horário: De segunda a sexta, das 9h as 18h    Contratação: Prestador de Serviços - PJ    Nível: Profissional    Descrição:   Atividades:
 


 Atuação em pré-vendas de soluções Nutanix
  Leitura e elaboração de laudos sobre editais públicos. 
  Especificação de soluções técnicas. 
  Elaboração de propostas técnicas para processos em empresas privadas e editais.
  Apresentação em clientes em território nacional.
    Requisitos:  

 REQUISITOS OBRIGATÓRIOS
 

  Formação Acadêmica: Superior completo em TI.   
  Conhecimentos de Redes, Virtualização, Servidores e Storage comprovados são requisitos mandatórios para o candidato   
  Disponibilidade para viagens   


 CERTIFICAÇÃO OBRIGATÓRIA
 

  Certificação nas soluções Nutanix            Benefícios: Assistência médica, Comissões, Day Off  
    "
196,PROGRAMADOR SR,30/04/2020,EMPREGARE.com,"Porto Velho - State of Rondônia, Brazil","
          Horário: De Seg à Sex das 8 às 17hs    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:   Desenvolvimento de Sistemas      Requisitos:   Formação completa na área de Tenologia da Informação.  Sólida experiência em .NET/ MVC, C# e/ou PHP puro/Laravel.   Desejável vivência na metodologia ágil SCRUM.  Obrigatório certificação em MCSE.   Benefícios: Assistência médica, Assistência odontológica, Day Off, Seguro de Vida, Vale-refeição  
    "
197,ANALISTA DE SEGURANÇA DA INFORMAÇÃO SR,30/04/2020,EMPREGARE.com,"Brasilia - Federal District, Brazil","
          Horário: De Seg à Sext das 11 às 20hs    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:   Atividades voltadas á administração de segurança da informação.  Implantação ou suporte de soluções de segurança da informação.   Requisitos:   Formação completa  na área TIC, ou curso de graduação em qualquer área acrescido de pós- graduação na área de TI.       Sólida experiência  em administração e gerenciamento   Obrigatório pelo menos 1 (uma) das certificações: o EXIN CEH; ou o ISC2 SSCP; ou o CompTIA CASP    Benefícios: Assistência médica, Assistência odontológica, Day Off, Seguro de Vida, Vale-refeição  
    "
198,ANALISTA DE SUPORTE SISTEMA SR- UNIX/LINUX,30/04/2020,EMPREGARE.com,"Brasilia - Federal District, Brazil","
          Horário: De Seg a Sex das 7 às 16hs.    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:      Condução e execução das atividades de instalação, configuração, operação, administração e sustentação dos componentes de infraestrutura de TIC relacionados a Sistemas Operacionais e Aplicações Unix/Linux;      • Servidores de rede com sistemas operacionais Unix/Linux (Redhat, CentOS, Debian, Suse, FreeBSD, dentre outros);   • Aplicações e serviços de rede (DNS, DHCP, Web Service, Web Cache, dentre outros);   • Gerenciamento de identidade, autenticação e controle de acesso (LDAP, TACACS, RADIUS, RBAC, dentre outros);   • Gerenciamento do parque computacional de servidores (inventário e distribuição de aplicações, de configurações, de atualizações, dentre outros);   • Arquiteturas e protocolos de serviços de rede;   • DevOps (versionamento de códigos e configurações de infraestrutura, testes e deploy automatizados, controles e execução de processos);   • Sistemas operacionais...
    "
